company,position,location,schedule,responsibilities,requirements,levels,techstack,source,format,salary,currency,salary_range,format2,levels2
РОСБАНК,Senior Data Scientist (оценка моделей),Москва,Удаленная работа,не определено,не определено,От 3 до 6 лет,"['Python', 'Machine Learning']",hh.ru,Удаленная работа,0.0,не определено,0,удаленка,От 3 до 6 лет
Университет Иннополис,Full Professor - Robotics & Computer Vision,Москва,Полный день,не определено,не определено,Более 6 лет,"['Английский язык', 'Information Technology', 'Fluent English', 'Проведение презентаций', 'Research', 'Public Speaking', 'English', 'Machine Learning', 'Writing Articles', 'Launching new projects', 'Research And Development']",hh.ru,Полный день,0.0,не определено,0,не указано,От 6 лет
Центр финансовых технологий,Системный аналитик (Machine Learning),Москва,Полный день,не определено,не определено,От 3 до 6 лет,"['SQL', 'Java', 'Bash']",hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
Ozon,"Руководитель группы ML, Цены и анализ конкурентов, Группа разработки ML-продукты",Москва,Удаленная работа,не определено,не определено,Более 6 лет,"['Python', 'Spark', 'SCALA', 'ClickHouse', 'Kafka', 'ML', 'machine learning', 'IT', 'Торговая площадка']",hh.ru,Удаленная работа,0.0,не определено,0,удаленка,От 6 лет
DNS Головной офис,Data Scientist (Computer Vision) / Junior,Владивосток,Полный день,не определено,не определено,Нет опыта,"['Python', 'Linux', 'Computer Vision', 'Git', 'PyTorch', 'OpenCV', 'Machine Learning', 'Numpy', 'SciPy', 'Docker']",hh.ru,Полный день,70000.0,RUB,100000,не указано,От 0 до 1 года
AliExpress Россия,Team lead machine learning engineer,Москва,Полный день,не определено,не определено,От 3 до 6 лет,"['Работа в команде', 'Грамотная речь', 'Деловое общение', 'Навыки презентации', 'Google Docs', 'NLP', 'CV', 'Python']",hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
РДТЕХ,Разработчик курса / методист / преподаватель курсов по Machine Learning,Москва,Удаленная работа,не определено,не определено,От 3 до 6 лет,не определено,hh.ru,Удаленная работа,0.0,не определено,0,удаленка,От 3 до 6 лет
Университет Иннополис,Assistant Professor - Robotics & Computer Vision,Москва,Полный день,не определено,не определено,Нет опыта,"['Английский язык', 'Information Technology', 'Fluent English', 'Проведение презентаций', 'Research', 'Public Speaking', 'English', 'Machine Learning', 'Writing Articles']",hh.ru,Полный день,0.0,не определено,0,не указано,От 0 до 1 года
Университет Иннополис,Assistant Professor - Robotics & Computer Vision,Санкт-Петербург,Полный день,не определено,не определено,От 3 до 6 лет,"['Английский язык', 'Information Technology', 'Fluent English', 'Проведение презентаций', 'Research', 'Public Speaking', 'English', 'Machine Learning', 'Writing Articles']",hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
СберМаркет,Junior Data Scientist,Москва,Полный день,не определено,не определено,От 1 года до 3 лет,"['Python', 'SQL', 'Spark', 'Git', 'PostgreSQL', 'Kafka', 'Big Data', 'Машинное обучение', 'SCALA', 'Machine Learning', 'ML', 'Airflow', 'Presto', 'Docker']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
Tele2,Middle Data Scientist,Москва,Полный день,не определено,не определено,От 3 до 6 лет,"['Python', 'Data Mining', 'Machine Learning', 'SQL', 'Математическая статистика']",hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
Альфа-Банк,ML Engineer / Machine Learning Operations,Москва,Полный день,не определено,не определено,От 1 года до 3 лет,"['Python', 'Git', 'SQL', 'Hadoop', 'PostgreSQL', 'MLops']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
АИ Дата,Senior Computer Vision developer / Team Lead,Москва,Удаленная работа,не определено,не определено,От 3 до 6 лет,"['OpenCV', 'Python', 'Linux', 'Git', 'Docker', 'YOLO', 'Machine Learning']",hh.ru,Удаленная работа,325000.0,RUB,400000,удаленка,От 3 до 6 лет
VK,Data Scientist (Predict),Москва,Полный день,не определено,не определено,От 1 года до 3 лет,"['Python', 'SQL', 'Математическая статистика', 'machine learning', 'Big Data', 'Hadoop', 'Spark']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
DNS Головной офис,Data Scientist (Computer Vision) / Middle,Владивосток,Полный день,не определено,не определено,От 1 года до 3 лет,"['Python', 'Linux', 'Computer Vision', 'Git', 'PyTorch', 'OpenCV', 'Machine Learning', 'Numpy', 'SciPy', 'Docker']",hh.ru,Полный день,100000.0,RUB,100000,не указано,От 1 года до 3 лет
Samsung Research Russia,Senior Engineer (Computational Materials Design & Simulations) / Individual contributor,Москва,Полный день,не определено,не определено,От 3 до 6 лет,"['Quantum Chemistry', 'Molecular Dynamics', 'Machine Learning', 'Force Fields', 'Atomistic Simulations']",hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
Joom,Senior Machine Learning Engineer (Golang/Python/Scala) to Lisbon,Москва,Гибкий график,не определено,не определено,От 3 до 6 лет,не определено,hh.ru,Гибкий график,380000.0,RUB,400000,не указано,От 3 до 6 лет
MGI,Algorithm Developer,Москва,Полный день,не определено,не определено,От 1 года до 3 лет,"['Python', 'Английский язык', 'C++', 'C/C++', 'Research', 'Spatial Transcriptomics', 'R']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
